imdbID,imdbRating,data_created_time,data_updateded_time
tt21867370,6.6,2025-02-21,2025-02-21
tt17494686,6.1,2025-02-21,2025-02-21
tt13721828,6.3,2025-02-21,2025-02-21
tt15838850,7.0,2025-02-21,2025-02-21
tt20168564,6.3,2025-02-21,2025-02-21
tt15575470,6.0,2025-02-21,2025-02-21
tt22191360,N/A,2025-02-21,2025-02-21
tt12477480,7.3,2025-02-21,2025-02-21
tt16529222,6.4,2025-02-21,2025-02-21
tt13182834,6.6,2025-02-21,2025-02-21
tt19383926,N/A,2025-02-21,2025-02-21
tt21279122,6.7,2025-02-21,2025-02-21
tt14140954,6.5,2025-02-21,2025-02-21
tt21109538,6.6,2025-02-21,2025-02-21
tt23871504,6.7,2025-02-21,2025-02-21
tt23849218,N/A,2025-02-21,2025-02-21
tt23157348,N/A,2025-02-21,2025-02-21
tt21263500,4.6,2025-02-21,2025-02-21
tt19713090,6.6,2025-02-21,2025-02-21
tt15108954,6.2,2025-02-21,2025-02-21
tt7282468,7.4,2025-02-21,2025-02-21
tt16755970,6.8,2025-02-21,2025-02-21
tt23746764,6.2,2025-02-21,2025-02-21
tt22872370,6.8,2025-02-21,2025-02-21
tt16676718,6.1,2025-02-21,2025-02-21
tt13236270,6.6,2025-02-21,2025-02-21
tt21632892,5.2,2025-02-21,2025-02-21
tt19849514,6.5,2025-02-21,2025-02-21
tt22048600,5.6,2025-02-21,2025-02-21
tt12663772,6.8,2025-02-21,2025-02-21
tt19632878,5.7,2025-02-21,2025-02-21
tt19245482,5.6,2025-02-21,2025-02-21
tt17491616,6.8,2025-02-21,2025-02-21
tt5213138,6.8,2025-02-21,2025-02-21
tt18372308,6.3,2025-02-21,2025-02-21
tt23813502,N/A,2025-02-21,2025-02-21
tt14371900,7.5,2025-02-21,2025-02-21
tt27553313,6.2,2025-02-21,2025-02-21
tt14035108,6.2,2025-02-21,2025-02-21
tt14425000,5.9,2025-02-21,2025-02-21
tt14776918,7.0,2025-02-21,2025-02-21
tt17146978,6.8,2025-02-21,2025-02-21
tt13705634,7.3,2025-02-21,2025-02-21
tt9602472,6.1,2025-02-21,2025-02-21
tt15575176,N/A,2025-02-21,2025-02-21
tt14773800,5.9,2025-02-21,2025-02-21
tt11792512,6.1,2025-02-21,2025-02-21
tt10231726,3.2,2025-02-21,2025-02-21
tt5790684,6.0,2025-02-21,2025-02-21
tt9409660,N/A,2025-02-21,2025-02-21
tt13846414,7.1,2025-02-21,2025-02-21
tt13087796,7.0,2025-02-21,2025-02-21
tt11080676,6.8,2025-02-21,2025-02-21
tt13021476,5.7,2025-02-21,2025-02-21
tt14463426,6.9,2025-02-21,2025-02-21
tt15041866,5.6,2025-02-21,2025-02-21
tt13350988,6.2,2025-02-21,2025-02-21
tt8129794,6.3,2025-02-21,2025-02-21
tt7904172,5.7,2025-02-21,2025-02-21
tt0130827,7.6,2025-02-21,2025-02-21
tt9110904,6.4,2025-02-21,2025-02-21
tt10791152,6.7,2025-02-21,2025-02-21
tt0156610,7.4,2025-02-21,2025-02-21
tt10072662,5.6,2025-02-21,2025-02-21
tt13091090,N/A,2025-02-21,2025-02-21
tt8550054,6.3,2025-02-21,2025-02-21
tt10851414,7.0,2025-02-21,2025-02-21
tt11409736,6.6,2025-02-21,2025-02-21
tt11967484,6.0,2025-02-21,2025-02-21
tt14775784,7.5,2025-02-21,2025-02-21
tt13017046,4.0,2025-02-21,2025-02-21
tt17785786,4.2,2025-02-21,2025-02-21
tt14134154,4.5,2025-02-21,2025-02-21
tt15839780,7.5,2025-02-21,2025-02-21
tt9415108,6.6,2025-02-21,2025-02-21
tt3804810,6.7,2025-02-21,2025-02-21
tt13479414,6.4,2025-02-21,2025-02-21
tt14760842,N/A,2025-02-21,2025-02-21
tt11238518,4.4,2025-02-21,2025-02-21
tt16315948,6.9,2025-02-21,2025-02-21
tt14296268,6.7,2025-02-21,2025-02-21
tt19328882,4.7,2025-02-21,2025-02-21
tt18259846,4.5,2025-02-21,2025-02-21
tt22479478,4.4,2025-02-21,2025-02-21
tt19072268,5.1,2025-02-21,2025-02-21
tt19357986,6.5,2025-02-21,2025-02-21
tt8399288,6.4,2025-02-21,2025-02-21
tt1588895,6.7,2025-02-21,2025-02-21
tt21243636,4.0,2025-02-21,2025-02-21
tt4028464,7.0,2025-02-21,2025-02-21
tt13821562,7.2,2025-02-21,2025-02-21
tt8856814,N/A,2025-02-21,2025-02-21
tt15010590,7.0,2025-02-21,2025-02-21
tt8165192,6.5,2025-02-21,2025-02-21
tt10283270,6.2,2025-02-21,2025-02-21
tt10117402,6.4,2025-02-21,2025-02-21
tt0118845,7.7,2025-02-21,2025-02-21
tt0101258,7.4,2025-02-21,2025-02-21
tt0093258,7.3,2025-02-21,2025-02-21
tt21187542,6.9,2025-02-21,2025-02-21
tt14032696,7.1,2025-02-21,2025-02-21
tt6419442,5.9,2025-02-21,2025-02-21
tt10423286,5.0,2025-02-21,2025-02-21
tt0102816,7.4,2025-02-21,2025-02-21
tt0092263,7.4,2025-02-21,2025-02-21
tt17044664,5.9,2025-02-21,2025-02-21
tt15244854,6.5,2025-02-21,2025-02-21
tt4431104,6.3,2025-02-21,2025-02-21
tt15282802,7.1,2025-02-21,2025-02-21
tt18500636,5.2,2025-02-21,2025-02-21
tt0093426,7.5,2025-02-21,2025-02-21
tt10687168,6.1,2025-02-21,2025-02-21
tt21867590,7.2,2025-02-21,2025-02-21
tt0168496,6.7,2025-02-21,2025-02-21
tt15619584,6.0,2025-02-21,2025-02-21
tt0338564,8.0,2025-02-21,2025-02-21
tt0095533,6.3,2025-02-21,2025-02-21
tt0156587,7.3,2025-02-21,2025-02-21
tt0369060,7.2,2025-02-21,2025-02-21
tt0374339,6.8,2025-02-21,2025-02-21
tt0115832,6.8,2025-02-21,2025-02-21
tt15049118,8.5,2025-02-21,2025-02-21
tt0066921,8.2,2025-02-21,2025-02-21
tt7322224,7.3,2025-02-21,2025-02-21
tt12550376,4.4,2025-02-21,2025-02-21
tt11127680,7.5,2025-02-21,2025-02-21
tt4061620,7.1,2025-02-21,2025-02-21
tt6805938,5.1,2025-02-21,2025-02-21
tt19652910,6.7,2025-02-21,2025-02-21
tt11196036,6.2,2025-02-21,2025-02-21
tt5693182,6.1,2025-02-21,2025-02-21
tt7392014,6.5,2025-02-21,2025-02-21
tt0102511,6.9,2025-02-21,2025-02-21
tt0115964,6.4,2025-02-21,2025-02-21
tt1723811,7.2,2025-02-21,2025-02-21
tt8523022,N/A,2025-02-21,2025-02-21
tt7606796,7.4,2025-02-21,2025-02-21
tt10370886,6.3,2025-02-21,2025-02-21
tt0089343,6.4,2025-02-21,2025-02-21
tt10872600,8.2,2025-02-21,2025-02-21
tt1630029,7.5,2025-02-21,2025-02-21
tt9032400,6.3,2025-02-21,2025-02-21
tt9419884,6.9,2025-02-21,2025-02-21
tt10648342,6.2,2025-02-21,2025-02-21
tt6856242,6.3,2025-02-21,2025-02-21
tt7097896,5.9,2025-02-21,2025-02-21
tt1160419,8.0,2025-02-21,2025-02-21
tt9376612,7.4,2025-02-21,2025-02-21
tt6443346,6.2,2025-02-21,2025-02-21
tt1877830,7.8,2025-02-21,2025-02-21
tt4123432,6.2,2025-02-21,2025-02-21
tt12593682,7.3,2025-02-21,2025-02-21
tt1464335,6.3,2025-02-21,2025-02-21
tt6264654,7.1,2025-02-21,2025-02-21
tt6710474,7.8,2025-02-21,2025-02-21
tt10838180,5.6,2025-02-21,2025-02-21
tt5834426,5.1,2025-02-21,2025-02-21
tt6920084,5.2,2025-02-21,2025-02-21
tt5108870,5.1,2025-02-21,2025-02-21
tt3480822,6.6,2025-02-21,2025-02-21
tt7657566,6.3,2025-02-21,2025-02-21
tt2953050,7.2,2025-02-21,2025-02-21
tt15474916,6.5,2025-02-21,2025-02-21
tt13320622,6.1,2025-02-21,2025-02-21
tt10648342,6.2,2025-02-21,2025-02-21
tt4998632,6.1,2025-02-21,2025-02-21
tt11851548,5.9,2025-02-21,2025-02-21
tt8115900,6.8,2025-02-21,2025-02-21
tt11832046,6.1,2025-02-21,2025-02-21
tt14109724,6.1,2025-02-21,2025-02-21
tt9764362,7.2,2025-02-21,2025-02-21
tt7069210,6.3,2025-02-21,2025-02-21
tt6902332,5.7,2025-02-21,2025-02-21
tt12801262,7.4,2025-02-21,2025-02-21
tt7740496,7.0,2025-02-21,2025-02-21
tt8847712,7.1,2025-02-21,2025-02-21
tt6932874,5.9,2025-02-21,2025-02-21
tt15325794,6.4,2025-02-21,2025-02-21
tt8385148,6.1,2025-02-21,2025-02-21
tt7693316,6.6,2025-02-21,2025-02-21
tt14060094,4.8,2025-02-21,2025-02-21
tt9844522,5.7,2025-02-21,2025-02-21
tt3811906,6.2,2025-02-21,2025-02-21
tt9271672,5.3,2025-02-21,2025-02-21
tt7144666,6.9,2025-02-21,2025-02-21
tt11291274,7.0,2025-02-21,2025-02-21
tt5726616,7.8,2025-02-21,2025-02-21
tt0241527,7.7,2025-02-21,2025-02-21
tt6246322,6.0,2025-02-21,2025-02-21
tt3758814,5.6,2025-02-21,2025-02-21
tt12003946,6.7,2025-02-21,2025-02-21
tt8356942,5.6,2025-02-21,2025-02-21
tt7504818,7.1,2025-02-21,2025-02-21
tt11245972,6.3,2025-02-21,2025-02-21
tt9639470,7.0,2025-02-21,2025-02-21
tt9620288,7.5,2025-02-21,2025-02-21
tt9411972,7.2,2025-02-21,2025-02-21
tt10304142,6.1,2025-02-21,2025-02-21
tt10665338,5.5,2025-02-21,2025-02-21
tt10633456,7.4,2025-02-21,2025-02-21
tt10028196,5.6,2025-02-21,2025-02-21
tt2397461,5.9,2025-02-21,2025-02-21
tt10731256,6.3,2025-02-21,2025-02-21
tt11827628,5.7,2025-02-21,2025-02-21
tt10665342,5.0,2025-02-21,2025-02-21
tt12536294,6.5,2025-02-21,2025-02-21
tt10168670,6.8,2025-02-21,2025-02-21
tt9198364,6.7,2025-02-21,2025-02-21
tt9731598,6.4,2025-02-21,2025-02-21
tt7740510,5.9,2025-02-21,2025-02-21
tt4244994,7.3,2025-02-21,2025-02-21
tt13640696,6.5,2025-02-21,2025-02-21
tt3581652,7.1,2025-02-21,2025-02-21
tt13223398,5.6,2025-02-21,2025-02-21
tt0092099,6.9,2025-02-21,2025-02-21
tt14779306,8.0,2025-02-21,2025-02-21
tt12873562,5.3,2025-02-21,2025-02-21
tt8110652,6.2,2025-02-21,2025-02-21
tt0062622,8.3,2025-02-21,2025-02-21
tt0338013,8.3,2025-02-21,2025-02-21
tt14121726,2.6,2025-02-21,2025-02-21
tt1879016,6.6,2025-02-21,2025-02-21
tt0081505,8.4,2025-02-21,2025-02-21
tt10323676,5.8,2025-02-21,2025-02-21
tt12193804,6.6,2025-02-21,2025-02-21
tt11198810,7.3,2025-02-21,2025-02-21
tt0119485,7.0,2025-02-21,2025-02-21
tt9853500,6.4,2025-02-21,2025-02-21
tt13133936,4.9,2025-02-21,2025-02-21
tt8717446,6.6,2025-02-21,2025-02-21
tt12789558,7.2,2025-02-21,2025-02-21
tt8718158,6.2,2025-02-21,2025-02-21
tt15690300,4.3,2025-02-21,2025-02-21
tt11209212,5.8,2025-02-21,2025-02-21
tt14824590,5.4,2025-02-21,2025-02-21
tt10362566,5.3,2025-02-21,2025-02-21
tt11252248,6.5,2025-02-21,2025-02-21
tt1736633,7.6,2025-02-21,2025-02-21
tt21435436,3.8,2025-02-21,2025-02-21
tt14577300,3.3,2025-02-21,2025-02-21
tt10957044,3.6,2025-02-21,2025-02-21
tt0093058,8.2,2025-02-21,2025-02-21
tt6506264,5.4,2025-02-21,2025-02-21
tt6456326,5.4,2025-02-21,2025-02-21
tt8009744,6.8,2025-02-21,2025-02-21
tt22394694,4.0,2025-02-21,2025-02-21
tt4029412,3.5,2025-02-21,2025-02-21
tt9421200,5.5,2025-02-21,2025-02-21
tt0120663,7.5,2025-02-21,2025-02-21
tt13432484,3.3,2025-02-21,2025-02-21
tt11388416,5.6,2025-02-21,2025-02-21
tt14412366,3.5,2025-02-21,2025-02-21
tt0059113,7.9,2025-02-21,2025-02-21
tt10023022,5.6,2025-02-21,2025-02-21
tt1441912,7.3,2025-02-21,2025-02-21
tt7975192,4.2,2025-02-21,2025-02-21
tt13918550,4.4,2025-02-21,2025-02-21
tt9054192,6.4,2025-02-21,2025-02-21
tt12889404,6.4,2025-02-21,2025-02-21
tt10344522,6.6,2025-02-21,2025-02-21
tt14923008,5.0,2025-02-21,2025-02-21
tt0119558,6.8,2025-02-21,2025-02-21
tt14174168,3.9,2025-02-21,2025-02-21
tt13496236,3.4,2025-02-21,2025-02-21
tt11188624,5.2,2025-02-21,2025-02-21
tt11131464,6.5,2025-02-21,2025-02-21
tt13265876,3.0,2025-02-21,2025-02-21
tt3294746,6.6,2025-02-21,2025-02-21
tt13889602,4.9,2025-02-21,2025-02-21
tt14668630,6.1,2025-02-21,2025-02-21
tt14577304,3.0,2025-02-21,2025-02-21
tt0243155,6.8,2025-02-21,2025-02-21
tt0114436,5.1,2025-02-21,2025-02-21
tt4940336,3.5,2025-02-21,2025-02-21
tt1014759,6.4,2025-02-21,2025-02-21
tt14199590,5.6,2025-02-21,2025-02-21
tt10968602,7.2,2025-02-21,2025-02-21
tt5629084,7.6,2025-02-21,2025-02-21
tt0097216,7.9,2025-02-21,2025-02-21
tt10984580,7.2,2025-02-21,2025-02-21
tt0114787,8.0,2025-02-21,2025-02-21
tt8006374,4.7,2025-02-21,2025-02-21
tt12036270,4.5,2025-02-21,2025-02-21
tt12216986,6.5,2025-02-21,2025-02-21
tt14303882,6.2,2025-02-21,2025-02-21
tt10933000,7.0,2025-02-21,2025-02-21
tt13322726,7.3,2025-02-21,2025-02-21
tt15815090,5.8,2025-02-21,2025-02-21
tt10648714,5.2,2025-02-21,2025-02-21
tt0072443,7.9,2025-02-21,2025-02-21
tt0079944,8.0,2025-02-21,2025-02-21
tt12390572,5.1,2025-02-21,2025-02-21
tt11636880,5.3,2025-02-21,2025-02-21
tt13328800,6.9,2025-02-21,2025-02-21
tt12519030,6.2,2025-02-21,2025-02-21
tt11007444,6.8,2025-02-21,2025-02-21
tt13328824,7.5,2025-02-21,2025-02-21
tt11871074,5.3,2025-02-21,2025-02-21
tt11369540,6.7,2025-02-21,2025-02-21
tt0156794,7.9,2025-02-21,2025-02-21
tt8613070,8.1,2025-02-21,2025-02-21
tt13774454,6.2,2025-02-21,2025-02-21
tt10687506,6.8,2025-02-21,2025-02-21
tt10341034,7.2,2025-02-21,2025-02-21
tt10944760,6.5,2025-02-21,2025-02-21
tt13880104,7.4,2025-02-21,2025-02-21
tt19783626,3.3,2025-02-21,2025-02-21
tt12998510,7.1,2025-02-21,2025-02-21
tt14073780,N/A,2025-02-21,2025-02-21
tt13204490,7.4,2025-02-21,2025-02-21
tt13553662,7.0,2025-02-21,2025-02-21
tt11906086,5.1,2025-02-21,2025-02-21
tt10366514,6.2,2025-02-21,2025-02-21
tt10088984,6.9,2025-02-21,2025-02-21
tt14317880,6.4,2025-02-21,2025-02-21
tt11610804,6.2,2025-02-21,2025-02-21
tt13846402,6.9,2025-02-21,2025-02-21
tt13241688,4.6,2025-02-21,2025-02-21
tt6910282,6.6,2025-02-21,2025-02-21
tt10505316,7.4,2025-02-21,2025-02-21
tt12847812,6.8,2025-02-21,2025-02-21
tt13269580,7.4,2025-02-21,2025-02-21
tt6270534,6.5,2025-02-21,2025-02-21
tt13234058,6.0,2025-02-21,2025-02-21
tt10945274,6.3,2025-02-21,2025-02-21
tt12444426,5.8,2025-02-21,2025-02-21
tt12496706,6.3,2025-02-21,2025-02-21
tt14039392,N/A,2025-02-21,2025-02-21
tt7555774,6.9,2025-02-21,2025-02-21
tt0053198,8.0,2025-02-21,2025-02-21
tt9844938,7.2,2025-02-21,2025-02-21
tt13613056,5.6,2025-02-21,2025-02-21
tt18317064,7.1,2025-02-21,2025-02-21
tt0053472,7.7,2025-02-21,2025-02-21
tt11310670,6.2,2025-02-21,2025-02-21
tt10023172,5.4,2025-02-21,2025-02-21
tt11105790,6.5,2025-02-21,2025-02-21
tt0055032,7.7,2025-02-21,2025-02-21
tt12444424,6.7,2025-02-21,2025-02-21
tt11006570,5.5,2025-02-21,2025-02-21
tt2278871,7.7,2025-02-21,2025-02-21
tt0080610,7.3,2025-02-21,2025-02-21
tt7534102,7.5,2025-02-21,2025-02-21
tt13353386,5.8,2025-02-21,2025-02-21
tt14371818,N/A,2025-02-21,2025-02-21
tt13482828,7.0,2025-02-21,2025-02-21
tt13142240,6.4,2025-02-21,2025-02-21
tt15115102,7.0,2025-02-21,2025-02-21
tt0058898,7.0,2025-02-21,2025-02-21
tt12847680,5.9,2025-02-21,2025-02-21
tt14280366,6.3,2025-02-21,2025-02-21
tt0056663,7.8,2025-02-21,2025-02-21
tt0060675,7.4,2025-02-21,2025-02-21
tt9800670,5.5,2025-02-21,2025-02-21
tt14429000,6.5,2025-02-21,2025-02-21
tt0082533,6.5,2025-02-21,2025-02-21
tt10376800,6.0,2025-02-21,2025-02-21
tt10533078,5.3,2025-02-21,2025-02-21
tt9431080,5.4,2025-02-21,2025-02-21
tt0088241,7.7,2025-02-21,2025-02-21
tt0765442,6.5,2025-02-21,2025-02-21
tt0445528,5.8,2025-02-21,2025-02-21
tt0096288,7.9,2025-02-21,2025-02-21
tt13317230,6.4,2025-02-21,2025-02-21
tt12618926,7.1,2025-02-21,2025-02-21
tt12443220,6.0,2025-02-21,2025-02-21
tt11700260,7.0,2025-02-21,2025-02-21
tt8393332,5.4,2025-02-21,2025-02-21
tt15341168,6.6,2025-02-21,2025-02-21
tt11777920,5.2,2025-02-21,2025-02-21
tt11797376,5.4,2025-02-21,2025-02-21
tt12500804,5.1,2025-02-21,2025-02-21
tt6277462,5.6,2025-02-21,2025-02-21
tt13299890,8.1,2025-02-21,2025-02-21
tt9681686,7.4,2025-02-21,2025-02-21
tt16915972,6.7,2025-02-21,2025-02-21
tt15215918,6.6,2025-02-21,2025-02-21
tt9834506,5.5,2025-02-21,2025-02-21
tt8205028,6.2,2025-02-21,2025-02-21
tt13882736,5.9,2025-02-21,2025-02-21
tt0093342,8.1,2025-02-21,2025-02-21
tt0111845,7.7,2025-02-21,2025-02-21
tt0105888,7.9,2025-02-21,2025-02-21
tt11777738,7.5,2025-02-21,2025-02-21
tt11773484,7.1,2025-02-21,2025-02-21
tt10514056,6.8,2025-02-21,2025-02-21
tt8767908,6.8,2025-02-21,2025-02-21
tt14549466,5.8,2025-02-21,2025-02-21
tt9143112,6.5,2025-02-21,2025-02-21
tt9204898,6.5,2025-02-21,2025-02-21
tt8372094,5.4,2025-02-21,2025-02-21
tt12532368,6.3,2025-02-21,2025-02-21
tt11032374,8.2,2025-02-21,2025-02-21
tt14331144,7.8,2025-02-21,2025-02-21
tt16410438,6.9,2025-02-21,2025-02-21
tt9116358,7.0,2025-02-21,2025-02-21
tt13642590,7.1,2025-02-21,2025-02-21
tt15467380,6.9,2025-02-21,2025-02-21
tt16444750,6.9,2025-02-21,2025-02-21
tt0096283,8.1,2025-02-21,2025-02-21
tt17382524,7.0,2025-02-21,2025-02-21
tt14039582,7.5,2025-02-21,2025-02-21
tt15721650,7.3,2025-02-21,2025-02-21
tt21115444,7.1,2025-02-21,2025-02-21
tt21608894,N/A,2025-02-21,2025-02-21
tt12007484,6.7,2025-02-21,2025-02-21
tt14034966,7.5,2025-02-21,2025-02-21
tt15242330,8.1,2025-02-21,2025-02-21
tt10540510,7.1,2025-02-21,2025-02-21
tt14865506,7.2,2025-02-21,2025-02-21
tt13064272,7.0,2025-02-21,2025-02-21
tt14118266,6.5,2025-02-21,2025-02-21
tt15327548,6.8,2025-02-21,2025-02-21
tt15799550,7.7,2025-02-21,2025-02-21
tt15458866,4.9,2025-02-21,2025-02-21
tt10787472,6.1,2025-02-21,2025-02-21
tt11219254,7.5,2025-02-21,2025-02-21
tt15715792,7.5,2025-02-21,2025-02-21
tt13167612,N/A,2025-02-21,2025-02-21
tt15482370,6.8,2025-02-21,2025-02-21
tt0488103,4.8,2025-02-21,2025-02-21
tt14605210,N/A,2025-02-21,2025-02-21
tt11487698,6.3,2025-02-21,2025-02-21
tt17008472,6.4,2025-02-21,2025-02-21
tt1909796,7.7,2025-02-21,2025-02-21
tt14423692,N/A,2025-02-21,2025-02-21
tt21235352,5.4,2025-02-21,2025-02-21
tt0491652,7.4,2025-02-21,2025-02-21
tt11417856,6.4,2025-02-21,2025-02-21
tt13975458,4.5,2025-02-21,2025-02-21
tt13758684,6.8,2025-02-21,2025-02-21
tt9810090,6.7,2025-02-21,2025-02-21
tt14967958,6.7,2025-02-21,2025-02-21
tt19850394,6.2,2025-02-21,2025-02-21
tt15052770,7.3,2025-02-21,2025-02-21
tt14311250,5.6,2025-02-21,2025-02-21
tt15469504,6.1,2025-02-21,2025-02-21
tt15400628,6.3,2025-02-21,2025-02-21
tt19719904,6.6,2025-02-21,2025-02-21
tt7112154,7.0,2025-02-21,2025-02-21
tt16245968,4.4,2025-02-21,2025-02-21
tt14153324,N/A,2025-02-21,2025-02-21
tt17510216,N/A,2025-02-21,2025-02-21
tt20413256,N/A,2025-02-21,2025-02-21
tt0089746,7.2,2025-02-21,2025-02-21
tt0092048,7.9,2025-02-21,2025-02-21
tt15181216,N/A,2025-02-21,2025-02-21
tt15102828,N/A,2025-02-21,2025-02-21
tt15150608,7.0,2025-02-21,2025-02-21
tt6848928,7.3,2025-02-21,2025-02-21
tt1305678,7.0,2025-02-21,2025-02-21
tt19845354,5.4,2025-02-21,2025-02-21
tt18750342,N/A,2025-02-21,2025-02-21
tt13017168,6.2,2025-02-21,2025-02-21
tt21649884,N/A,2025-02-21,2025-02-21
tt11252688,6.1,2025-02-21,2025-02-21
tt18235306,6.9,2025-02-21,2025-02-21
tt21627390,N/A,2025-02-21,2025-02-21
tt19632774,6.4,2025-02-21,2025-02-21
tt21816922,N/A,2025-02-21,2025-02-21
tt13345102,5.3,2025-02-21,2025-02-21
tt14786640,N/A,2025-02-21,2025-02-21
tt15215468,6.2,2025-02-21,2025-02-21
tt19845370,6.1,2025-02-21,2025-02-21
tt13404868,N/A,2025-02-21,2025-02-21
tt15442580,5.4,2025-02-21,2025-02-21
tt1077089,7.1,2025-02-21,2025-02-21
tt11773748,7.4,2025-02-21,2025-02-21
tt18952724,7.1,2025-02-21,2025-02-21
tt18096416,N/A,2025-02-21,2025-02-21
tt11679950,6.4,2025-02-21,2025-02-21
tt7283052,6.1,2025-02-21,2025-02-21
tt21439866,N/A,2025-02-21,2025-02-21
tt1590089,7.7,2025-02-21,2025-02-21
tt14820290,N/A,2025-02-21,2025-02-21
tt18566518,6.5,2025-02-21,2025-02-21
tt2113091,7.0,2025-02-21,2025-02-21
tt1677603,6.9,2025-02-21,2025-02-21
tt14941348,N/A,2025-02-21,2025-02-21
tt22775702,N/A,2025-02-21,2025-02-21
tt0498587,7.0,2025-02-21,2025-02-21
tt0046438,8.1,2025-02-21,2025-02-21
tt23555720,N/A,2025-02-21,2025-02-21
tt0788086,5.9,2025-02-21,2025-02-21
tt11897340,6.3,2025-02-21,2025-02-21
tt0317248,8.6,2025-02-21,2025-02-21
tt8430054,7.9,2025-02-21,2025-02-21
tt15456878,6.7,2025-02-21,2025-02-21
tt18968540,6.2,2025-02-21,2025-02-21
tt15448352,N/A,2025-02-21,2025-02-21
tt17292614,5.9,2025-02-21,2025-02-21
tt22498834,N/A,2025-02-21,2025-02-21
tt15119668,7.0,2025-02-21,2025-02-21
tt21618732,4.2,2025-02-21,2025-02-21
tt21404042,4.7,2025-02-21,2025-02-21
tt24786154,5.9,2025-02-21,2025-02-21
tt16077426,N/A,2025-02-21,2025-02-21
tt15620158,7.1,2025-02-21,2025-02-21
tt22463402,6.4,2025-02-21,2025-02-21
tt16738372,N/A,2025-02-21,2025-02-21
tt22757470,N/A,2025-02-21,2025-02-21
tt22370990,N/A,2025-02-21,2025-02-21
tt0105382,7.3,2025-02-21,2025-02-21
tt21936550,N/A,2025-02-21,2025-02-21
tt22497950,N/A,2025-02-21,2025-02-21
tt14401290,6.0,2025-02-21,2025-02-21
tt15677260,N/A,2025-02-21,2025-02-21
tt12194516,7.3,2025-02-21,2025-02-21
tt22398358,N/A,2025-02-21,2025-02-21
tt19609954,7.7,2025-02-21,2025-02-21
tt22335454,N/A,2025-02-21,2025-02-21
tt15138308,5.9,2025-02-21,2025-02-21
tt15742308,N/A,2025-02-21,2025-02-21
tt13298522,6.2,2025-02-21,2025-02-21
tt21881700,N/A,2025-02-21,2025-02-21
tt15445340,5.7,2025-02-21,2025-02-21
tt29060486,N/A,2025-02-21,2025-02-21
tt15677210,N/A,2025-02-21,2025-02-21
tt17336922,N/A,2025-02-21,2025-02-21
tt15743140,N/A,2025-02-21,2025-02-21
tt13217182,6.9,2025-02-21,2025-02-21
tt13370724,N/A,2025-02-21,2025-02-21
tt13236576,N/A,2025-02-21,2025-02-21
tt18317338,N/A,2025-02-21,2025-02-21
tt11319188,6.3,2025-02-21,2025-02-21
tt15743072,N/A,2025-02-21,2025-02-21
tt15446628,N/A,2025-02-21,2025-02-21
tt12205628,N/A,2025-02-21,2025-02-21
tt15096446,N/A,2025-02-21,2025-02-21
tt10639214,4.4,2025-02-21,2025-02-21
tt13298600,N/A,2025-02-21,2025-02-21
tt13878178,N/A,2025-02-21,2025-02-21
tt3704050,7.5,2025-02-21,2025-02-21
tt15488160,N/A,2025-02-21,2025-02-21
tt14071634,N/A,2025-02-21,2025-02-21
tt0347996,6.8,2025-02-21,2025-02-21
tt19876798,N/A,2025-02-21,2025-02-21
tt2567390,7.4,2025-02-21,2025-02-21
tt12867672,N/A,2025-02-21,2025-02-21
tt22476934,6.3,2025-02-21,2025-02-21
tt21228760,N/A,2025-02-21,2025-02-21
tt0176331,7.3,2025-02-21,2025-02-21
tt0088645,6.0,2025-02-21,2025-02-21
tt0243132,7.6,2025-02-21,2025-02-21
tt0243494,6.5,2025-02-21,2025-02-21
tt0092231,7.2,2025-02-21,2025-02-21
tt0490518,7.5,2025-02-21,2025-02-21
tt4814380,6.3,2025-02-21,2025-02-21
